SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ApproachReturnErrorDeg,ApproachReturnErrorRaw,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,Run1,B0-B p02 jig 1 test 23.txt,3,2,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9036219972668876,-0.0004180027331123215,4679.0,6.300000000000182,0.3900146484375,71.0,-0.02232,3.25,0.90404,0.77319,-0.3089470833333333,4.000000000026205e-05,3.2500400000000003,0.7728563808525802,-0.0003336191474198058,3.47037,3.48146,1.735185
2,Run1,B0-B p02 jig 1 test 23.txt,4,3,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9032164096760914,8.640967609141459e-05,4669.0,-3.699999999999818,0.41748046875,76.0,0.02704,3.28,0.90313,0.77447,-0.36324144444444445,-0.0022020000000000373,3.2777979999999998,0.7744942008994015,2.4200899401471965e-05,3.42414,3.42181,1.71207
3,Run1,B0-B p02 jig 1 test 23.txt,5,4,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8999547140848784,7.471408487835784e-05,4675.0,2.300000000000182,0.439453125,80.0,0.03579,3.24,0.89988,0.76886,-0.3320325833333333,0.0038000000000000256,3.2438000000000002,0.7690598879495982,0.00019988794959824308,3.39305,3.3898,1.696525
4,Run1,B0-B p02 jig 1 test 23.txt,6,5,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9006325234446697,-2.7476555330308017e-05,4671.0,-1.699999999999818,0.428466796875,78.0,0.0012,3.27,0.90066,0.77333,-0.36014144444444446,0.002914000000000083,3.272914,0.7732788898235892,-5.111017641079574e-05,3.42467,3.42533,1.712335
5,Run1,B0-B p02 jig 1 test 23.txt,7,6,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9003490707767412,-0.00033092922325883567,4670.0,-2.699999999999818,0.41748046875,76.0,0.01493,3.28,0.90068,0.7729,-0.3730763888888889,-0.00039200000000017,3.2796079999999996,0.7728583760742138,-4.16239257862161e-05,3.43694,3.44378,1.71847
6,Run1,B0-B p02 jig 1 test 23.txt,8,7,6,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9004889432049116,0.00010894320491161569,4672.0,-0.6999999999998181,0.406494140625,74.0,-0.00575,3.27,0.90038,0.77218,-0.3684308333333333,-0.003106000000000275,3.2668939999999997,0.7721027284708191,-7.727152918091118e-05,3.41998,3.42198,1.70999
7,Run1,B0-B p02 jig 1 test 23.txt,9,8,7,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8995656906139771,-0.0007243093860229699,4675.0,2.300000000000182,0.406494140625,74.0,0.02755,3.25,0.90029,0.77281,-0.3474385555555556,0.004973999999999812,3.254974,0.7721406306515113,-0.0006693693484887131,3.45009,3.45151,1.725045
8,Run1,B0-B p02 jig 1 test 23.txt,10,9,8,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9016152983669348,0.00025529836693471974,4672.0,-0.6999999999998181,0.3680419921875,67.0,0.01794,3.26,0.90136,0.77204,-0.36695863888888886,-0.0024839999999999307,3.257516,0.7721387317294467,9.87317294467438e-05,3.45183,3.45374,1.725915
9,Run1,B0-B p02 jig 1 test 23.txt,11,10,9,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9004817445400706,0.00027174454007061755,4671.0,-1.699999999999818,0.4010009765625,73.0,0.02103,3.29,0.90021,0.77241,-0.35206438888888886,-0.003658000000000161,3.286342,0.7724596502242862,4.9650224286157396e-05,3.50762,3.51322,1.75381
10,Run1,B0-B p02 jig 1 test 23.txt,12,11,10,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8997412760103833,-0.00016872398961664814,4676.0,3.300000000000182,0.428466796875,78.0,-0.00918,3.29,0.89991,0.77251,-0.3468077222222222,-0.003502000000000116,3.286498,0.7722770450825781,-0.00023295491742192365,3.48396,3.48979,1.74198
11,Run2,B0-B p02 jig 1 test 23 lần 2.txt,14,13,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9041799744660344,0.0003199744660343784,4673.0,0.3000000000001819,0.406494140625,74.0,0.00498,3.27,0.90386,0.77548,-0.35445458333333335,-0.0016560000000001018,3.268344,0.775623911169327,0.00014391116932710446,3.47096,3.47177,1.73548
12,Run2,B0-B p02 jig 1 test 23 lần 2.txt,15,14,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.904578769929865,-0.0004412300701350791,4673.0,0.3000000000001819,0.4119873046875,75.0,0.02163,3.27,0.90502,0.774,-0.35538630555555556,0.00426200000000021,3.2742620000000002,0.7736439983419491,-0.00035600165805094175,3.44513,3.44619,1.722565
13,Run2,B0-B p02 jig 1 test 23 lần 2.txt,16,15,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9025999424831395,-0.000590057516860587,4672.0,-0.6999999999998181,0.384521484375,70.0,0.0121,3.26,0.90319,0.77438,-0.3669949722222222,0.0015580000000001704,3.261558,0.7739819060840859,-0.0003980939159140551,3.47783,3.48009,1.738915
14,Run2,B0-B p02 jig 1 test 23 lần 2.txt,17,16,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8996698867068913,3.988670689125673e-05,4669.0,-3.699999999999818,0.384521484375,70.0,0.03957,3.24,0.89963,0.76805,-0.32877452777777777,0.003485999999999656,3.243486,0.7679502283972136,-9.977160278640262e-05,3.46297,3.46687,1.731485
15,Run2,B0-B p02 jig 1 test 23 lần 2.txt,18,17,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.902526918601109,-0.00039308139889093763,4673.0,0.3000000000001819,0.41748046875,76.0,0.01081,3.29,0.90292,0.7737,-0.3446153888888889,-0.00495800000000024,3.285042,0.7734048646737102,-0.0002951353262898859,3.4454599999999997,3.44748,1.7227299999999999
