SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ApproachReturnErrorDeg,ApproachReturnErrorRaw,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,36,35,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.859273014709565,5.301470956498022e-05,61440.0,-3.6999999999970896,-0.010986328125,-2.0,0.01699,3.12,0.85922,0.72813,0.033314916666666666,0.004273999999999667,3.1242739999999998,0.7282459089056188,0.00011590890561874456,3.48694,3.48756,1.74347
2,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,37,36,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8563714492819795,0.0001614492819794755,61453.0,9.30000000000291,0.010986328125,2.0,-0.03562,3.13,0.85621,0.73131,0.0910308888888889,-0.0020319999999998117,3.127968,0.7313344837436173,2.4483743617298437e-05,3.5061,3.51417,1.75305
3,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,38,37,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8543646217160173,-0.0003853782839826625,61450.0,6.30000000000291,0.0164794921875,3.0,0.00635,3.13,0.85475,0.72831,0.09359347222222222,-0.004926000000000208,3.1250739999999997,0.7277896630936711,-0.0005203369063289109,3.48462,3.49108,1.74231
4,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,39,38,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8547806924980864,-0.0002893075019135827,61452.0,8.30000000000291,-0.0054931640625,-1.0,-0.04626,3.13,0.85507,0.731,0.1157383888888889,0.0018560000000000798,3.131856,0.7307246576243216,-0.00027534237567838904,3.52478,3.52867,1.76239
5,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,40,39,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.851957453239846,-0.00037254676015407995,61447.0,3.3000000000029104,-0.0274658203125,-5.0,-0.08283,3.11,0.85233,0.72574,0.06639055555555556,0.0008200000000000429,3.11082,0.7256556875212332,-8.431247876683479e-05,3.48663,3.48687,1.743315
6,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,41,40,6,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8546875554289284,0.00021755542892842872,61437.0,-6.69999999999709,0.010986328125,2.0,-0.01296,3.13,0.85447,0.72764,0.05053572222222222,-0.0015080000000002869,3.1284919999999996,0.7279137776737409,0.000273777673740927,3.50061,3.5043,1.750305
7,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,42,41,7,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8542096625524732,0.00018966255247321318,61436.0,-7.69999999999709,-0.02197265625,-4.0,0.02275,3.13,0.85402,0.72864,0.016307083333333337,-0.0011060000000000514,3.128894,0.7286758629040714,3.586290407142645e-05,3.50317,3.50215,1.751585
8,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,43,42,8,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8534212746487794,-0.00031872535122068335,61441.0,-2.6999999999970896,-0.0164794921875,-3.0,0.00961,3.14,0.85374,0.72757,0.012856722222222223,0.004693999999999754,3.144694,0.7274668966090718,-0.00010310339092822751,3.51065,3.51005,1.755325
9,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,44,43,9,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8528138285787197,-7.61714212803577e-05,61444.0,0.3000000000029104,0.0384521484375,7.0,-0.03399,3.16,0.85289,0.73124,0.06867780555555555,0.0015719999999994627,3.1615719999999996,0.7313119246394841,7.19246394841333e-05,3.53586,3.5364,1.76793
10,P05_R1,B0-B p05 jig 1 test 23 lần 1.txt,45,44,10,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8510918576312201,0.00043185763122011167,61437.0,-6.69999999999709,-0.010986328125,-2.0,-0.01021,3.19,0.85066,0.72945,0.005598361111111108,-0.0009739999999998084,3.189026,0.7296899104447135,0.0002399104447134981,3.5763,3.57777,1.78815
